date,home_team,away_team,home_goals,away_goals,round,elo_h,elo_a,elo_diff,h_win5,a_win5,h_gf5,a_gf5,h_ga5,a_ga5,h_gd5,a_gd5,h_win10,a_win10,h_gf10,a_gf10,h_ga10,a_ga10,h_gd10,a_gd10,h2h_n,h2h_h_winrate,h2h_a_winrate
1950-07-02,England,Spain,0,1,FIFA World Cup,1616.1317193041268,1618.0980102675007,-1.9662909633739218,0.5,0.6,1.0,1.8,0.5,0.8,0.5,1.0,0.5,0.6,1.0,1.8,0.5,0.8,0.5,1.0,0,0.0,0.0
1950-07-02,Italy,Paraguay,2,0,FIFA World Cup,1794.323546880475,1480.3128582606523,314.01068861982276,0.8,0.3333,2.6,1.0,1.6,1.67,1.0,-0.67,0.8,0.3333,2.5,1.0,1.1,1.67,1.4,-0.67,0,0.0,0.0
1950-07-02,Mexico,Switzerland,1,2,FIFA World Cup,1448.2655010759584,1501.9480020848894,-53.68250100893101,0.0,0.2,1.0,1.4,4.2,2.0,-3.2,-0.6,0.0,0.2857,1.0,1.71,4.2,2.14,-3.2,-0.43,0,0.0,0.0
1950-07-09,Spain,Uruguay,2,2,FIFA World Cup,1747.9282288703764,1685.4514867800783,62.4767420902981,0.6,1.0,1.4,4.6,0.6,0.6,0.8,4.0,0.6667,1.0,1.67,4.6,0.67,0.6,1.0,4.0,0,0.0,0.0
1950-07-09,Brazil,Sweden,7,1,FIFA World Cup,1692.8439622512512,1581.5837696530423,111.26019259820896,0.6,0.4,2.6,3.2,1.2,2.6,1.4,0.6,0.6,0.4286,2.7,2.86,1.6,2.43,1.1,0.43,1,1.0,0.0
1950-07-13,Brazil,Spain,6,1,FIFA World Cup,1736.8494905792343,1642.590958574604,94.2585320046303,0.8,0.6,3.8,1.6,1.0,0.8,2.8,0.8,0.6,0.5714,3.0,1.71,1.7,0.86,1.3,0.86,1,0.0,0.0
1950-07-13,Sweden,Uruguay,2,3,FIFA World Cup,1637.5782413250593,1690.7887570758508,-53.2105157507915,0.2,0.8,1.8,4.8,4.0,1.0,-2.2,3.8,0.375,0.8333,2.62,4.17,3.0,0.83,-0.38,3.33,0,0.0,0.0
1950-07-16,Brazil,Uruguay,1,2,FIFA World Cup,1780.9595654126763,1716.2297806910083,64.72978472166801,0.8,0.8,4.2,4.6,0.8,1.4,3.4,3.2,0.7,0.8571,3.5,4.0,1.5,1.0,2.0,3.0,0,0.0,0.0
1950-07-16,Spain,Sweden,1,3,FIFA World Cup,1698.480883741162,1512.1372177099017,186.34366603126023,0.6,0.2,1.8,2.0,1.8,3.6,0.0,-1.6,0.5,0.3333,1.62,2.56,1.5,3.0,0.12,-0.44,0,0.0,0.0
1954-06-16,France,Yugoslavia,0,1,FIFA World Cup,1550.742934835504,1608.278945111544,-57.53601027604009,0.2,0.6,1.2,2.4,1.8,1.8,-0.6,0.6,0.3333,0.6667,1.67,2.33,1.67,1.67,0.0,0.67,0,0.0,0.0
1954-06-16,Czechoslovakia,Uruguay,0,2,FIFA World Cup,1656.8763442426277,1751.7552169900905,-94.87887274746276,0.4,0.8,1.8,3.8,1.2,1.4,0.6,2.4,0.5714,0.875,2.0,3.75,1.29,1.0,0.71,2.75,0,0.0,0.0
1954-06-16,Brazil,Mexico,5,0,FIFA World Cup,1745.434129113594,1322.8642825331694,422.5698465804246,0.6,0.0,3.6,1.0,1.2,3.8,2.4,-2.8,0.6,0.0,3.0,1.0,1.2,3.83,1.8,-2.83,1,1.0,0.0
1954-06-16,Austria,Scotland,1,0,FIFA World Cup,1588.6999276362324,1500.0,88.69992763623236,0.5,0.5,1.75,0.0,1.75,0.0,0.0,0.0,0.5,0.5,1.75,0.0,1.75,0.0,0.0,0.0,0,0.0,0.0
1954-06-17,Switzerland,Italy,2,1,FIFA World Cup,1627.3492206276783,1707.0072062260251,-79.65798559834684,0.4,0.8,1.6,2.6,2.0,1.4,-0.4,1.2,0.375,0.8,1.75,2.0,2.0,1.0,-0.25,1.0,0,0.0,0.0
1954-06-17,Hungary,South Korea,9,0,FIFA World Cup,1697.0765162768741,1500.0,197.07651627687414,0.6,0.5,3.2,0.0,1.4,0.0,1.8,0.0,0.6667,0.5,3.33,0.0,1.5,0.0,1.83,0.0,0,0.0,0.0
1954-06-17,Belgium,England,4,4,FIFA World Cup,1424.3668870961485,1486.3015007012511,-61.93461360510264,0.0,0.3333,0.75,0.67,3.0,0.67,-2.25,0.0,0.0,0.3333,0.75,0.67,3.0,0.67,-2.25,0.0,0,0.0,0.0
1954-06-17,Germany,Turkey,4,1,FIFA World Cup,1600.3204213908896,1500.0,100.32042139088958,0.4,0.5,1.8,0.0,2.2,0.0,-0.4,0.0,0.5,0.5,2.33,0.0,2.17,0.0,0.17,0.0,0,0.0,0.0
1954-06-19,Austria,Czechoslovakia,5,0,FIFA World Cup,1611.2031311080373,1523.8684643105018,87.33466679753542,0.6,0.2,1.6,1.2,1.4,1.4,0.2,-0.2,0.6,0.5,1.6,1.75,1.4,1.38,0.2,0.38,0,0.0,0.0
1954-06-19,Brazil,Yugoslavia,1,1,FIFA World Cup,1755.1213911517482,1633.3558086036637,121.76558254808447,0.8,0.6,4.2,1.8,0.8,1.8,3.4,0.0,0.7,0.7143,3.4,2.14,1.1,1.43,2.3,0.71,2,0.5,0.0
1954-06-19,France,Mexico,3,2,FIFA World Cup,1525.6660713433844,1313.1770204950153,212.48905084836906,0.2,0.0,1.2,1.0,1.8,4.2,-0.6,-3.2,0.2857,0.0,1.43,0.86,1.57,4.0,-0.14,-3.14,1,1.0,0.0
1954-06-19,Scotland,Uruguay,0,7,FIFA World Cup,1577.496796528195,1784.7630969222164,-207.2663003940213,0.0,0.8,0.0,3.4,1.0,1.0,-1.0,2.4,0.0,0.8889,0.0,3.56,1.0,0.89,-1.0,2.67,0,0.0,0.0
1954-06-20,South Korea,Turkey,0,7,FIFA World Cup,1563.4992555444094,1462.2514319107609,101.24782363364852,0.0,0.0,0.0,1.0,9.0,4.0,-9.0,-3.0,0.0,0.0,0.0,1.0,9.0,4.0,-9.0,-3.0,0,0.0,0.0
1954-06-20,Switzerland,England,0,2,FIFA World Cup,1664.1094037320104,1481.0095724440325,183.09983128797785,0.4,0.25,1.2,1.5,1.8,1.5,-0.6,0.0,0.4444,0.25,1.78,1.5,1.89,1.5,-0.11,0.0,0,0.0,0.0
